RID,PI,PI_entries,Interaction_index,nose.raw.distance,nose.distance.moving,nose.raw.speed,nose.speed.moving,nose.time.moving,nose.total.time,nose.time.stationary,nose.percentage.moving,nose.ob.raw.distance,nose.ob.distance.moving,nose.ob.raw.speed,nose.ob.speed.moving,nose.ob.time.moving,nose.ob.total.time,nose.ob.time.stationary,nose.ob.percentage.moving,nose.ob.transitions,nose.nob.raw.distance,nose.nob.distance.moving,nose.nob.raw.speed,nose.nob.speed.moving,nose.nob.time.moving,nose.nob.total.time,nose.nob.time.stationary,nose.nob.percentage.moving,nose.nob.transitions
sub-35,0.4778991159646386,0.4935064935064935,0.48570280473556604,2706.715218702025,2395.967357349252,8.841140678432224,13.099876202018873,182.9,306.15,123.24999999999997,59.74195655724319,368.8274761684423,312.7423486715471,7.347160879849447,10.372880552953472,30.15,50.2,20.050000000000004,60.05976095617529,39,401.78048054098076,372.83064675623297,8.743862470968025,9.646329799643803,38.65,45.95,7.300000000000004,84.1131664853101,38
sub-37,0.4381720430107527,0.41509433962264153,0.4266331913166971,2324.387817773613,1930.8734432953725,7.592316896206476,11.119340301153887,173.65,306.15,132.49999999999997,56.72056181610322,165.75139399422108,106.86414467137216,5.287125805238312,9.37404777819054,11.4,31.35,19.950000000000003,36.36363636363637,31,169.50784785311345,138.0659993411118,6.932836313010775,8.936310636965164,15.45,24.45,9,63.190184049079754,22
sub-39,0.6087524493794906,0.6222222222222222,0.61548733580085635,2854.1010301787587,2569.9386366000763,8.591514238948703,13.068592100686887,196.65,332.2,135.54999999999998,59.19626730885009,472.9995900152926,409.14879868352233,7.8964873124422805,10.177830813022943,40.2,59.9,19.699999999999996,67.11185308848081,34,663.0255701930719,560.0386691034273,7.114008263874162,11.257058675445775,49.75,93.2,43.45,53.37982832618026,56
sub-41,0.1264591439688716,0.12,0.12322957198443579,3233.8330372169107,2877.0720399369675,10.618397758059139,15.666060658518745,183.65,304.55,120.9,60.302085043506814,392.9428456316098,340.0685387729927,8.75151103856592,12.059168041595488,28.2,44.9,16.7,62.80623608017818,66,44.015751949799245,35.96353818498533,6.771654146122961,7.9918973744411845,4.5,6.5,2,69.23076923076923,9
sub-42,0.6442926045016077,0.56,0.6021463022508039,2697.3727334873593,2383.27264645193,8.856912603800227,13.85623631658099,172,304.55,132.55,56.4767690034477,374.6978649195667,335.3666099323264,8.46774835976422,10.30312165690711,32.55,44.25,11.700000000000003,73.5593220338983,33,465.5904720569155,358.2467352109817,5.808989046249725,10.00689204499949,35.8,80.15,44.35000000000001,44.666250779787894,42
sub-43,0.42919757248819956,0.5470085470085471,0.4881030597483733,3487.688183628713,3186.256726570792,11.43129525935337,15.512447549030146,205.4,305.1,99.70000000000002,67.32218944608324,716.5104858663165,613.8315633135556,8.464388492218742,11.872950934498176,51.7,84.65,32.95,61.07501476668635,53,506.25014785865034,437.146309762947,7.953655111683431,10.997391440577282,39.75,63.65,23.9,62.45090337784761,64
sub-45,0.3416210840377921,0.43859649122807015,0.3901087876329311,3922.808108845696,3786.499297544071,12.857450373142235,14.822858866878336,255.45,305.1,49.650000000000034,83.72664700098328,614.2309092258645,562.536182538215,9.27841252607046,11.284577382913039,49.85,66.2,16.35,75.30211480362537,64,296.8392534050375,276.762029186327,8.641608541631367,10.68579263267672,25.9,34.35,8.450000000000003,75.40029112081513,50
sub-48,0.5572654631547795,0.47368421052631576,0.5154748368405476,3236.4200162516954,2977.389941802937,10.663657384684333,13.309744934300118,223.7,303.5,79.80000000000001,73.70675453047775,619.2279766480805,537.5684157565131,8.278448885669526,10.592481098650504,50.75,74.8,24.049999999999997,67.8475935828877,50,633.8986263153256,523.5606833684619,6.732858484496288,8.829016582942023,59.3,94.15,34.85000000000001,62.98459904407859,45
sub-49,0.8457931753060693,0.559322033898305,0.7025576046021872,2784.3663075357454,2456.3336636842205,9.046024390954338,12.349591069302264,198.9,307.8,108.9,64.61988304093568,267.2232920361451,245.5477285922694,9.027813920140037,11.1612603905577,22,29.6,7.600000000000001,74.32432432432432,26,1035.5778433499434,818.4912735634225,6.378674735755734,9.124763361911064,89.7,162.35,72.64999999999999,55.25100092392978,33
sub-18,0.3031381429957943,0.4772727272727273,0.39020543513426076,2615.707045352162,1891.7934166567206,4.359027405875173,10.127373750838977,186.8,600.0666666666667,413.2666666666667,31.12987445839351,494.983452567817,256.69496549979226,3.446959976099004,8.481111194927056,30.266666666666666,143.6,113.33333333333333,21.07706592386258,46,214.58566523320636,110.40456531918574,3.43520275186563,7.92377263056357,13.933333333333334,62.46666666666667,48.53333333333333,22.30522945570971,42
sub-20,0.4519360953154617,0.48936170212765956,0.4706488987215606,2745.636324172829,1957.6222429705056,4.48780046448648,9.292510647011893,210.66666666666666,611.8,401.1333333333333,34.43391086411681,502.3423716182962,316.18072336914827,3.722893070293697,7.480616483497199,42.266666666666666,134.93333333333334,92.66666666666667,31.324110671936754,48,476.3159718824041,286.7102963520596,4.280850556163009,8.48255314651064,33.8,111.26666666666667,77.46666666666667,30.377471539844215,46
sub-21,0.4992175273865415,0.56,0.5296087636932708,4343.501254892643,3927.245053397644,14.059671735733632,19.519110603368013,201.2,308.93333333333334,107.73333333333335,65.12731981009927,580.3614981702661,527.6485007316874,13.602222613365612,17.24341505659109,30.6,42.666666666666664,12.066666666666663,71.71875000000001,44,506.24807313166195,435.84243663145986,11.902384164537507,14.724406642954724,29.6,42.53333333333333,12.93333333333333,69.59247648902821,56
sub-25,0.3347985347985348,0.38235294117647056,0.35857573798750264,2084.3729127921983,1682.1092539885547,6.665016775076311,12.350288208432854,136.2,312.73333333333335,176.53333333333336,43.551481560434866,402.63092360801903,314.882125574946,6.6513919098241026,10.858004330170552,29,60.53333333333333,31.53333333333333,47.907488986784145,42,190.3715386279368,132.03410896087885,6.248518773345847,9.04343212060814,14.6,30.466666666666665,15.866666666666665,47.92122538293217,26
sub-27,0.291699604743083,0.49230769230769234,0.39200364852538766,3437.554201516089,3133.0701818089483,11.050860056309759,15.464314816431136,202.6,311.06666666666666,108.46666666666667,65.13073296185169,528.5825085859062,468.6706719654531,8.849037532130128,11.212217032666343,41.8,59.733333333333334,17.933333333333337,69.97767857142857,33,277.06059153494675,263.6335583927814,11.262625672152307,13.13788496973994,20.066666666666666,24.6,4.533333333333335,81.57181571815718,32
sub-29,0.5219582433405329,0.5853658536585366,0.5536620484995347,2581.264768200723,2230.6492749853296,8.30166627851862,11.626038611806791,191.86666666666667,310.93333333333334,119.06666666666666,61.70668953687822,320.51724079210123,249.54001727192966,7.2406003190986725,10.368698778612035,24.066666666666666,44.266666666666666,20.2,54.36746987951807,34,344.46727795692385,287.8253262484441,7.12690919910877,9.284687943498199,31,48.333333333333336,17.333333333333336,64.13793103448275,48
sub-22,0.39641864773078106,0.5490196078431373,0.4727191277869592,3102.722260298703,2829.5236755101114,10.181761956788568,15.101531803113922,187.36666666666667,304.73333333333335,117.36666666666667,61.4854517611026,533.6470086278656,457.9888927670145,8.188956654136046,12.010198236897232,38.13333333333333,65.16666666666667,27.03333333333334,58.5166240409207,46,381.82515861234754,338.4293367832582,8.921148565709055,13.083608380796063,25.866666666666667,42.8,16.93333333333333,60.436137071651096,56
sub-26,0.3870646766169154,0.5,0.44353233830845773,4127.7251206941855,3863.0193348902694,13.395905843879875,19.93302030387136,193.8,308.1333333333333,114.33333333333331,62.89485071397664,690.5446626526875,578.9886481347615,8.40760547060902,12.371552310571829,46.8,82.13333333333334,35.33333333333334,56.980519480519476,64,526.3468554739281,464.76729238535233,10.148075619677279,15.737041502890033,29.533333333333335,51.86666666666667,22.333333333333332,56.94087403598972,64
sub-28,0.33373603141045,0.4230769230769231,0.37840647724368653,3900.4744488714564,3591.256767979534,12.848823264098352,19.105817173148786,187.96666666666667,303.56666666666666,115.6,61.91940265729659,695.4656979023995,615.7300571612137,9.457829073922024,14.625417034708164,42.1,73.53333333333333,31.43333333333333,57.2529465095195,60,344.39455740011635,271.9131651298314,9.350078481451122,13.756146633886916,19.766666666666666,36.833333333333336,17.06666666666667,53.665158371040725,44
sub-30,0.517968517968518,0.6138613861386139,0.5659149520535659,3733.3042366744826,3435.2850568261247,12.285994635830898,17.370394691519255,197.76666666666668,303.8666666666667,106.1,65.08336989907855,502.3489128230915,454.9277943094946,9.28556215939171,12.625193181577092,36.03333333333333,54.1,18.06666666666667,66.60505237215033,39,569.3565648134366,497.644873041469,9.793977605735723,13.211810788711567,37.666666666666664,58.13333333333333,20.46666666666667,64.79357798165137,62
